Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1897.7710888522042
FDW14,OUT017,1089.7835331150732
NCN55,OUT010,2316.288223583652
FDQ58,OUT017,2133.5516410921214
FDY38,OUT027,5107.794887504264
FDH56,OUT046,1948.2026711854337
FDL48,OUT018,1254.2489697220867
FDC48,OUT027,2860.246866182211
FDN33,OUT045,1364.4522493136924
FDA36,OUT017,2648.2216433918757
FDT44,OUT017,1393.9161939797182
FDQ56,OUT045,1181.9683525486976
NCC54,OUT019,2570.808142221803
FDU11,OUT049,1972.65936936231
DRL59,OUT013,502.7003202890694
FDM24,OUT049,2506.9849095221
FDI57,OUT045,3036.4921163070608
DRC12,OUT018,3534.9108353298157
NCM42,OUT027,3271.65474014879
FDA46,OUT010,1399.482532383598
FDA31,OUT013,2219.305725401125
NCJ31,OUT035,3363.745208709662
FDG52,OUT046,808.5028188893868
NCL19,OUT019,1310.620600289587
FDS10,OUT035,2727.3590076468436
FDX22,OUT010,1996.5610601137519
NCF19,OUT035,646.6445363164485
NCE06,OUT046,2522.533763369984
DRC27,OUT046,3926.7665844454373
FDE21,OUT035,1754.0771270595983
NCR42,OUT019,-480.10892511750853
FDX51,OUT018,3626.5369607174866
NCR06,OUT018,1213.6454457939208
FDU31,OUT027,5025.270389851121
FDU59,OUT017,2126.483786944237
FDR03,OUT027,4858.316323786505
FDS49,OUT027,2732.117180252037
FDD48,OUT010,432.19991359295545
NCF18,OUT017,2556.891656864896
NCD43,OUT027,3196.382523780599
NCD54,OUT018,2739.765146710254
FDY19,OUT010,433.55250667071414
NCY54,OUT017,2112.7900306283072
NCL19,OUT018,2790.4034284712698
FDP23,OUT010,2023.9013231551685
FDC26,OUT013,1209.3280399701448
FDR14,OUT010,-921.5655110259534
NCS41,OUT035,2724.7260818791865
FDF41,OUT035,3602.2959093723143
FDU34,OUT046,1989.7777972114259
DRH11,OUT046,977.2956307014133
FDM03,OUT013,1128.752749687695
FDS31,OUT017,2535.176547133216
FDJ20,OUT017,1512.990814846331
FDV44,OUT027,4545.825719779608
FDG02,OUT049,3157.832097042395
FDA09,OUT013,2424.0443468166773
FDT04,OUT013,92.54104917627524
FDL58,OUT019,3068.046920789308
FDE52,OUT045,1448.7725226985563
FDW12,OUT035,2227.189998211953
FDL51,OUT017,3053.814019776027
NCY42,OUT027,3788.818164017362
FDR07,OUT017,1103.3292015472666
FDN40,OUT045,2265.8726976018374
FDB35,OUT027,2969.0198210312906
FDA22,OUT017,2172.224949395165
NCL06,OUT046,4129.221801052134
FDI35,OUT013,2440.688791782895
NCW42,OUT045,3373.771583473674
NCX06,OUT049,2997.5390950087954
FDC37,OUT027,3251.2650807712394
FDZ14,OUT018,2450.014689879572
DRG49,OUT049,3970.113153646594
NCG06,OUT045,3967.693916097425
DRC36,OUT045,2758.417510787756
FDV21,OUT019,544.6240522615967
FDB53,OUT046,2242.4732903434237
DRP47,OUT019,2668.0236057618404
FDA14,OUT013,1833.4527280947773
DRC24,OUT035,2349.066748921184
FDW21,OUT018,2190.357046756212
NCH29,OUT046,1631.8793906848782
FDU58,OUT013,2636.5956751326507
FDY27,OUT017,2454.900142241035
FDV56,OUT035,1705.3473235730398
FDT59,OUT046,3747.2432097989927
FDB23,OUT046,3738.556527562489
FDR49,OUT045,508.74350584521153
FDB03,OUT010,2085.0269713447447
FDN39,OUT045,2554.8534832382725
FDX02,OUT027,4996.170752740347
FDQ16,OUT027,3228.615833963288
FDU35,OUT018,1981.3268635441764
NCT29,OUT013,1467.260384251394
FDZ27,OUT046,907.5601798922896
FDN57,OUT017,1827.703640745931
FDA03,OUT018,2810.236658375606
