Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1661.6931960784314
FDW14,OUT017,1412.156205042017
NCN55,OUT010,584.7577647727275
FDQ58,OUT017,2222.671282258065
FDY38,OUT027,6280.89088
FDH56,OUT046,1800.19222295082
FDL48,OUT018,711.0628208695654
FDC48,OUT027,2517.882088484849
FDN33,OUT045,1559.3429752688176
FDA36,OUT017,2778.989277999999
FDT44,OUT017,1800.19222295082
FDQ56,OUT045,1412.156205042017
NCC54,OUT019,584.7577647727275
FDU11,OUT049,2047.6653193798459
DRL59,OUT013,711.0628208695654
FDM24,OUT049,2490.526886705203
FDI57,OUT045,3100.732013245032
DRC12,OUT018,2797.8044474576263
NCM42,OUT027,3242.0620715328487
FDA46,OUT010,482.69954262295073
FDA31,OUT013,2888.491010112361
NCJ31,OUT035,3735.2457029411753
FDG52,OUT046,796.6660672268904
NCL19,OUT019,281.4820818181818
FDS10,OUT035,3387.204723170732
FDX22,OUT010,584.7577647727275
NCF19,OUT035,796.6660672268904
NCE06,OUT046,2222.671282258065
DRC27,OUT046,3855.1205479768796
FDE21,OUT035,1800.19222295082
NCR42,OUT019,92.67548155339804
FDX51,OUT018,2797.8044474576263
NCR06,OUT018,507.04640366972484
FDU31,OUT027,5329.314724444444
FDU59,OUT017,2611.4595423423407
FDR03,OUT027,5329.314724444444
FDS49,OUT027,2517.882088484849
FDD48,OUT010,281.4820818181818
NCF18,OUT017,3216.7914510638307
NCD43,OUT027,2517.882088484849
NCD54,OUT018,1752.2524399999995
FDY19,OUT010,281.4820818181818
NCY54,OUT017,2888.491010112361
NCL19,OUT018,2232.847021848739
FDP23,OUT010,584.7577647727275
FDC26,OUT013,1548.6861522123895
FDR14,OUT010,165.91858165137603
NCS41,OUT035,3387.204723170732
FDF41,OUT035,3735.2457029411753
FDU34,OUT046,2047.6653193798459
DRH11,OUT046,933.6314425287358
FDM03,OUT013,1548.6861522123895
FDS31,OUT017,3387.204723170732
FDJ20,OUT017,2140.5192583333323
FDV44,OUT027,5329.314724444444
FDG02,OUT049,2778.989277999999
FDA09,OUT013,2888.491010112361
FDT04,OUT013,507.04640366972484
FDL58,OUT019,584.7577647727275
FDE52,OUT045,1353.0650169014084
FDW12,OUT035,2490.526886705203
FDL51,OUT017,3855.1205479768796
NCY42,OUT027,3242.0620715328487
FDR07,OUT017,1559.3429752688176
FDN40,OUT045,2490.526886705203
FDB35,OUT027,2517.882088484849
FDA22,OUT017,2611.4595423423407
NCL06,OUT046,4034.300306896553
FDI35,OUT013,3387.204723170732
NCW42,OUT045,3855.1205479768796
NCX06,OUT049,2551.843596747968
FDC37,OUT027,2517.882088484849
FDZ14,OUT018,1752.2524399999995
DRG49,OUT049,3855.1205479768796
NCG06,OUT045,4034.300306896553
DRC36,OUT045,2551.843596747968
FDV21,OUT019,281.4820818181818
FDB53,OUT046,2660.9504030303024
DRP47,OUT019,584.7577647727275
FDA14,OUT013,2660.9504030303024
DRC24,OUT035,2660.9504030303024
FDW21,OUT018,1372.6884907407407
NCH29,OUT046,1559.3429752688176
FDU58,OUT013,2797.8044474576263
FDY27,OUT017,2888.491010112361
FDV56,OUT035,1784.4287381818176
FDT59,OUT046,3662.465929999999
FDB23,OUT046,3662.465929999999
FDR49,OUT045,796.6660672268904
FDB03,OUT010,584.7577647727275
FDN39,OUT045,2453.7477006993013
FDX02,OUT027,5329.314724444444
FDQ16,OUT027,2517.882088484849
FDU35,OUT018,1372.6884907407407
NCT29,OUT013,1857.3664076190466
FDZ27,OUT046,796.6660672268904
FDN57,OUT017,2227.634958415842
